CATEGORY,CLASS,TYPE,NAME,DATE/TIME,MARKET,MARKET NAME,STATUS,DISPLAYED,DISPORDER,TAX RATE,LIVE PRICE,STARTING PRICE,FORECAST,TRICAST,EACH-WAY,PLACE,NUM PLACES,PLACE FRACTION,TERMS WITH BET,ACC MIN,ACC MAX,HANDICAP,LIAB LIMIT,EXT KEY,CHANNELS,AP,BET_IN_RUN,CASHOUT AVAILABLE
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Will There Be A Goal Scored?|","|GOAL scored in the next 5 minutes?| 02:00 - 06:59",A,Y,2500,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CORNER awarded in the next 5 minutes?|","|CORNER awarded in the next 5 minutes?| 02:00 - 06:59",A,Y,2501,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Over / Under 1.5 CORNERS in the next 5 minutes?|","|Over/Under 1.5 CORNERS in the next 5 minutes?| 02:00 - 06:59",A,Y,2502,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CARD shown in the next 5 minutes?|","|CARD shown in the next 5 minutes?| 02:00 - 06:59",A,Y,2503,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - PENALTY awarded in the next 5 minutes?|","|PENALTY awarded in the next 5 minutes?| 02:00 - 06:59",A,Y,2504,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - What will happen FIRST in the next 5 minutes?|","|What will happen FIRST in the next 5 minutes?| 02:00 - 06:59",A,Y,2505,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Match Action in the next 5 minutes|","|Match Action in the next 5 minutes| 02:00 - 06:59",A,Y,2506,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Will There Be A Goal Scored?|","|GOAL scored in the next 5 minutes?| 03:00 - 07:59",A,Y,2507,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CORNER awarded in the next 5 minutes?|","|CORNER awarded in the next 5 minutes?| 03:00 - 07:59",A,Y,2508,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Over / Under 1.5 CORNERS in the next 5 minutes?|","|Over/Under 1.5 CORNERS in the next 5 minutes?| 03:00 - 07:59",A,Y,2509,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CARD shown in the next 5 minutes?|","|CARD shown in the next 5 minutes?| 03:00 - 07:59",A,Y,2510,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - PENALTY awarded in the next 5 minutes?|","|PENALTY awarded in the next 5 minutes?| 03:00 - 07:59",A,Y,2511,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - What will happen FIRST in the next 5 minutes?|","|What will happen FIRST in the next 5 minutes?| 03:00 - 07:59",A,Y,2512,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Match Action in the next 5 minutes|","|Match Action in the next 5 minutes| 03:00 - 07:59",A,Y,2513,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Will There Be A Goal Scored?|","|GOAL scored in the next 5 minutes?| 04:00 - 08:59",A,Y,2514,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CORNER awarded in the next 5 minutes?|","|CORNER awarded in the next 5 minutes?| 04:00 - 08:59",A,Y,2515,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Over / Under 1.5 CORNERS in the next 5 minutes?|","|Over/Under 1.5 CORNERS in the next 5 minutes?| 04:00 - 08:59",A,Y,2516,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CARD shown in the next 5 minutes?|","|CARD shown in the next 5 minutes?| 04:00 - 08:59",A,Y,2517,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - PENALTY awarded in the next 5 minutes?|","|PENALTY awarded in the next 5 minutes?| 04:00 - 08:59",A,Y,2518,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - What will happen FIRST in the next 5 minutes?|","|What will happen FIRST in the next 5 minutes?| 04:00 - 08:59",A,Y,2519,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Match Action in the next 5 minutes|","|Match Action in the next 5 minutes| 04:00 - 08:59",A,Y,2520,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Will There Be A Goal Scored?|","|GOAL scored in the next 5 minutes?| 05:00 - 09:59",A,Y,2521,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CORNER awarded in the next 5 minutes?|","|CORNER awarded in the next 5 minutes?| 05:00 - 09:59",A,Y,2522,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Over / Under 1.5 CORNERS in the next 5 minutes?|","|Over/Under 1.5 CORNERS in the next 5 minutes?| 05:00 - 09:59",A,Y,2523,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - CARD shown in the next 5 minutes?|","|CARD shown in the next 5 minutes?| 05:00 - 09:59",A,Y,2524,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - PENALTY awarded in the next 5 minutes?|","|PENALTY awarded in the next 5 minutes?| 05:00 - 09:59",A,Y,2525,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - What will happen FIRST in the next 5 minutes?|","|What will happen FIRST in the next 5 minutes?| 05:00 - 09:59",A,Y,2526,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Match Action in the next 5 minutes|","|Match Action in the next 5 minutes| 05:00 - 09:59",A,Y,2527,,,,,,,,,,,1,1,,,,,,Y,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|5 minute Markets - Will There Be A Goal Scored?|","|GOAL scored in the next 5 minutes?| 06:00 - 10:59",A,Y,2528,,,,,,,,,,,1,1,,,,,,Y,N
