CATEGORY,CLASS,TYPE,NAME,DATE/TIME,MARKET,MARKET NAME,STATUS,DISPLAYED,DISPORDER,TAX RATE,LIVE PRICE,STARTING PRICE,FORECAST,TRICAST,EACH-WAY,PLACE,NUM PLACES,PLACE FRACTION,TERMS WITH BET,ACC MIN,ACC MAX,HANDICAP,LIAB LIMIT,EXT KEY,CHANNELS,AP,BET_IN_RUN,CASHOUT AVAILABLE
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Next Goal|","|2nd Goal|",A,Y,150,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Next Goal|","|3rd Goal|",A,Y,151,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Next Goal|","|4th Goal|",A,Y,152,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Next Goal|","|5th Goal|",A,Y,153,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Next Goal|","|2nd Half First Goal|",A,Y,170,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Time Of 1st Goal Over/Under|","|Time Of 1st Goal Over/Under|",A,Y,191,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Time Of Team Goal|","|Time Of 1st| |$teamA| |Goal|",A,Y,212,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Time Of Team Goal|","|Time Of 1st| |$teamB| |Goal|",A,Y,213,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Time Of Team Goal Over/Under|","|Time Of 1st| |$teamA| |Goal Over/Under|",A,Y,214,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Time Of Team Goal Over/Under|","|Time Of 1st| |$teamB| |Goal Over/Under|",A,Y,215,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 1st To 15th Minute?|",A,Y,216,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 16th To 30th Minute?|",A,Y,217,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 31st Minute To Half Time?|",A,Y,218,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 46th To 60th Minute?|",A,Y,219,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 61st To 75th Minute?|",A,Y,220,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 76th Minute To Full Time?|",A,Y,221,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 81st Minute To Full Time?|",A,Y,222,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 86th Minute To Full Time?|",A,Y,223,,,,,,,,,,,,,,,,,,N,Y
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Goal - In X To Y Minute?|","|Match Goal - 2nd Half Injury Time?|",A,Y,224,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamA| |Goal - 1st To 15th Minute?|",A,Y,225,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamA| |Goal - 16th To 30th Minute?|",A,Y,226,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamA| |Goal - 31st Minute To Half Time?|",A,Y,227,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamA| |Goal - 46th To 60th Minute?|",A,Y,228,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamA| |Goal - 61st To 75th Minute?|",A,Y,229,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamA| |Goal - 76th Minute To Full Time?|",A,Y,230,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamB| |Goal - 1st To 15th Minute?|",A,Y,234,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamB| |Goal - 16th To 30th Minute?|",A,Y,235,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamB| |Goal - 31st Minute To Half Time?|",A,Y,236,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamB| |Goal - 46th To 60th Minute?|",A,Y,237,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamB| |Goal - 61st To 75th Minute?|",A,Y,238,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Team Goal - In X To Y Minute?|","|$teamB| |Goal - 76th Minute To Full Time?|",A,Y,239,,,,,,,,,,,,,,,,,,N,N
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Total Corners|","|Total Match Corners|",A,Y,243,,,,,,,,,,,,,,,,,,N,Y
