CATEGORY,CLASS,TYPE,NAME,DATE/TIME,MARKET,SELECTION,STATUS,DISPLAYED,DISPORDER,MIN BET,MAX BET,MAX TOTAL,STK/LBT,LIVE PRICE,SP GUIDE,FB RESULT,EXT KEY,MULT KEY,CHANNELS
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Betting| |Live|","|$teamA|",A,Y,10,0.03,,,L,1/100,,H,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Betting| |Live|","|Draw|",A,Y,20,0.03,,,L,1/100,,D,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Betting| |Live|","|$teamB|",A,Y,30,0.03,,,L,1/100,,A,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 3 or More Goals in the Match| |Live|","|$teamA|",A,Y,10,0.03,,,L,1/100,,H,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 3 or More Goals in the Match| |Live|","|Draw|",A,Y,20,0.03,,,L,1/100,,D,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 3 or More Goals in the Match| |Live|","|$teamB|",A,Y,30,0.03,,,L,1/100,,A,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 4 or More Goals in the Match| |Live|","|$teamA|",A,Y,10,0.03,,,L,1/100,,H,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 4 or More Goals in the Match| |Live|","|Draw|",A,Y,20,0.03,,,L,1/100,,D,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 4 or More Goals in the Match| |Live|","|$teamB|",A,Y,30,0.03,,,L,1/100,,A,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 5 or More Goals in the Match| |Live|","|$teamA|",A,Y,10,0.03,,,L,1/100,,H,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 5 or More Goals in the Match| |Live|","|Draw|",A,Y,20,0.03,,,L,1/100,,D,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Match Result and 5 or More Goals in the Match| |Live|","|$teamB|",A,Y,30,0.03,,,L,1/100,,A,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 1-0",A,Y,10,0.03,,,L,1/100,,1-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 2-0",A,Y,20,0.03,,,L,1/100,,2-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 2-1",A,Y,30,0.03,,,L,1/100,,2-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 3-0",A,Y,40,0.03,,,L,1/100,,3-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 3-1",A,Y,50,0.03,,,L,1/100,,3-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 3-2",A,Y,60,0.03,,,L,1/100,,3-2,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 4-0",A,Y,70,0.03,,,L,1/100,,4-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 4-1",A,Y,80,0.03,,,L,1/100,,4-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 4-2",A,Y,90,0.03,,,L,1/100,,4-2,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 4-3",A,Y,100,0.03,,,L,1/100,,4-3,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 5-0",A,Y,110,0.03,,,L,1/100,,5-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 5-1",A,Y,120,0.03,,,L,1/100,,5-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 5-2",A,Y,130,0.03,,,L,1/100,,5-2,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 5-3",A,Y,140,0.03,,,L,1/100,,5-3,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 5-4",A,Y,150,0.03,,,L,1/100,,5-4,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 6-0",A,Y,160,0.03,,,L,1/100,,6-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 6-1",A,Y,170,0.03,,,L,1/100,,6-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 6-2",A,Y,180,0.03,,,L,1/100,,6-2,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 6-3",A,Y,190,0.03,,,L,1/100,,6-3,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 6-4",A,Y,200,0.03,,,L,1/100,,6-4,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 7-0",A,Y,210,0.03,,,L,1/100,,7-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 7-1",A,Y,220,0.03,,,L,1/100,,7-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 7-2",A,Y,230,0.03,,,L,1/100,,7-2,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 7-3",A,Y,240,0.03,,,L,1/100,,7-3,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 8-0",A,Y,250,0.03,,,L,1/100,,8-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 8-1",A,Y,260,0.03,,,L,1/100,,8-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 8-2",A,Y,270,0.03,,,L,1/100,,8-2,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 9-0",A,Y,280,0.03,,,L,1/100,,9-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 9-1",A,Y,290,0.03,,,L,1/100,,9-1,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamA| 10-0",A,Y,300,0.03,,,L,1/100,,10-0,,MNC,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|Draw| 0-0",A,Y,310,0.03,,,L,1/100,,0-0,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|Draw| 1-1",A,Y,320,0.03,,,L,1/100,,1-1,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|Draw| 2-2",A,Y,330,0.03,,,L,1/100,,2-2,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|Draw| 3-3",A,Y,340,0.03,,,L,1/100,,3-3,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|Draw| 4-4",A,Y,350,0.03,,,L,1/100,,4-4,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|Draw| 5-5",A,Y,360,0.03,,,L,1/100,,5-5,,,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamB| 1-0",A,Y,370,0.03,,,L,1/100,,0-1,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamB| 2-0",A,Y,380,0.03,,,L,1/100,,0-2,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamB| 2-1",A,Y,390,0.03,,,L,1/100,,1-2,,EVE,
FOOTBALL,"|$sport|","|$competition|","|$teamA| |vs| |$teamB|",$eventStartTime,"|Live Score|","|$teamB| 3-0",A,Y,400,0.03,,,L,1/100,,0-3,,EVE,
